2025-03-20 17:33:24.901592|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2025-03-20 17:33:24.922762|INFO    |ServerLibPriv |   |SystemInformation: Linux 6.10.14-linuxkit #1 SMP PREEMPT_DYNAMIC Mon Feb 24 16:37:44 UTC 2025 x86_64 Binary: 64bit
2025-03-20 17:33:24.924003|INFO    |ServerLibPriv |   |Using hardware aes
2025-03-20 17:33:24.932845|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2025-03-20 17:33:24.934679|INFO    |DatabaseQuery |   |dbPlugin version: 2
2025-03-20 17:33:39.342651|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2025-03-20 17:33:39.372784|INFO    |Accounting    |   |Licensing Information
2025-03-20 17:33:39.374781|INFO    |Accounting    |   |licensed to       : Anonymous
2025-03-20 17:33:39.376452|INFO    |Accounting    |   |type              : No License
2025-03-20 17:33:39.378177|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2025-03-20 17:33:39.379495|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2025-03-20 17:33:39.381409|INFO    |Accounting    |   |max virtualservers: 1
2025-03-20 17:33:39.382561|INFO    |Accounting    |   |max slots         : 32
2025-03-20 17:33:41.048113|INFO    |              |   |Puzzle precompute time: 1487
2025-03-20 17:33:41.063779|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2025-03-20 17:33:41.096524|INFO    |Query         |   |Using a query thread pool size of 2
2025-03-20 17:33:41.272082|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2025-03-20 17:33:41.335977|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2025-03-20 17:33:41.344595|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
