2025-03-20 17:55:59.254688|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2025-03-20 17:55:59.272224|INFO    |ServerLibPriv |   |SystemInformation: Linux 6.10.14-linuxkit #1 SMP PREEMPT_DYNAMIC Mon Feb 24 16:37:44 UTC 2025 x86_64 Binary: 64bit
2025-03-20 17:55:59.274552|INFO    |ServerLibPriv |   |Using hardware aes
2025-03-20 17:55:59.313069|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2025-03-20 17:55:59.314697|INFO    |DatabaseQuery |   |dbPlugin version: 2
2025-03-20 17:56:15.667671|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2025-03-20 17:56:15.680838|INFO    |Accounting    |   |Licensing Information
2025-03-20 17:56:15.682669|INFO    |Accounting    |   |licensed to       : Anonymous
2025-03-20 17:56:15.683634|INFO    |Accounting    |   |type              : No License
2025-03-20 17:56:15.685720|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2025-03-20 17:56:15.687085|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2025-03-20 17:56:15.688504|INFO    |Accounting    |   |max virtualservers: 1
2025-03-20 17:56:15.689521|INFO    |Accounting    |   |max slots         : 32
2025-03-20 17:56:16.639124|INFO    |              |   |Puzzle precompute time: 855
2025-03-20 17:56:16.674995|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2025-03-20 17:56:16.699632|INFO    |Query         |   |Using a query thread pool size of 2
2025-03-20 17:56:16.832834|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2025-03-20 17:56:16.875700|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2025-03-20 17:56:16.895898|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2025-03-20 18:16:51.932178|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
