2025-03-19 23:44:34.378172|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2025-03-19 23:44:34.392599|INFO    |ServerLibPriv |   |SystemInformation: Linux 6.12.5-linuxkit #1 SMP PREEMPT_DYNAMIC Tue Jan 21 10:25:35 UTC 2025 x86_64 Binary: 64bit
2025-03-19 23:44:34.394092|INFO    |ServerLibPriv |   |Using hardware aes
2025-03-19 23:44:34.397379|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2025-03-19 23:44:34.399491|INFO    |DatabaseQuery |   |dbPlugin version: 2
2025-03-19 23:44:34.453609|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2025-03-19 23:44:34.473335|INFO    |Accounting    |   |Licensing Information
2025-03-19 23:44:34.475177|INFO    |Accounting    |   |licensed to       : Anonymous
2025-03-19 23:44:34.477044|INFO    |Accounting    |   |type              : No License
2025-03-19 23:44:34.478695|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2025-03-19 23:44:34.480059|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2025-03-19 23:44:34.481770|INFO    |Accounting    |   |max virtualservers: 1
2025-03-19 23:44:34.483359|INFO    |Accounting    |   |max slots         : 32
2025-03-19 23:44:35.531812|INFO    |              |   |Puzzle precompute time: 1016
2025-03-19 23:44:35.534443|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2025-03-19 23:44:35.559525|INFO    |Query         |   |Using a query thread pool size of 2
2025-03-19 23:44:35.618874|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2025-03-19 23:44:35.625057|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2025-03-19 23:44:35.681802|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2025-03-19 23:48:37.815948|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
