2025-03-19 20:08:59.567307|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2025-03-19 20:08:59.578259|INFO    |ServerLibPriv |   |SystemInformation: Linux 6.12.5-linuxkit #1 SMP PREEMPT_DYNAMIC Tue Jan 21 10:25:35 UTC 2025 x86_64 Binary: 64bit
2025-03-19 20:08:59.579309|INFO    |ServerLibPriv |   |Using hardware aes
2025-03-19 20:08:59.580705|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2025-03-19 20:08:59.581614|INFO    |DatabaseQuery |   |dbPlugin version: 2
2025-03-19 20:09:19.826801|INFO    |SQL           |   |db_CreateTables() tables created
2025-03-19 20:09:19.976842|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2025-03-19 20:09:19.987630|INFO    |Accounting    |   |Licensing Information
2025-03-19 20:09:19.988671|INFO    |Accounting    |   |licensed to       : Anonymous
2025-03-19 20:09:19.989294|INFO    |Accounting    |   |type              : No License
2025-03-19 20:09:19.990260|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2025-03-19 20:09:19.991073|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2025-03-19 20:09:19.992655|INFO    |Accounting    |   |max virtualservers: 1
2025-03-19 20:09:19.993327|INFO    |Accounting    |   |max slots         : 32
2025-03-19 20:09:20.716033|INFO    |              |   |Puzzle precompute time: 688
2025-03-19 20:09:20.731990|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2025-03-19 20:09:20.736275|INFO    |VirtualSvrMgr |   |executing monthly interval
2025-03-19 20:09:20.745336|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2025-03-19 20:09:20.775440|INFO    |Query         |   |Using a query thread pool size of 2
2025-03-19 20:09:20.898037|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2025-03-19 20:09:21.042289|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2025-03-19 20:09:21.070752|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2025-03-19 21:56:16.850473|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
