2025-03-20 18:16:58.398015|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2025-03-20 18:16:58.406412|INFO    |ServerLibPriv |   |SystemInformation: Linux 6.10.14-linuxkit #1 SMP PREEMPT_DYNAMIC Mon Feb 24 16:37:44 UTC 2025 x86_64 Binary: 64bit
2025-03-20 18:16:58.407568|INFO    |ServerLibPriv |   |Using hardware aes
2025-03-20 18:16:58.408750|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2025-03-20 18:16:58.409480|INFO    |DatabaseQuery |   |dbPlugin version: 2
2025-03-20 18:17:02.733305|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2025-03-20 18:17:02.743899|INFO    |Accounting    |   |Licensing Information
2025-03-20 18:17:02.744969|INFO    |Accounting    |   |licensed to       : Anonymous
2025-03-20 18:17:02.746341|INFO    |Accounting    |   |type              : No License
2025-03-20 18:17:02.747720|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2025-03-20 18:17:02.748769|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2025-03-20 18:17:02.749730|INFO    |Accounting    |   |max virtualservers: 1
2025-03-20 18:17:02.750866|INFO    |Accounting    |   |max slots         : 32
2025-03-20 18:17:03.402431|INFO    |              |   |Puzzle precompute time: 592
2025-03-20 18:17:03.415717|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2025-03-20 18:17:03.435996|INFO    |Query         |   |Using a query thread pool size of 2
2025-03-20 18:17:03.530444|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2025-03-20 18:17:03.536860|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2025-03-20 18:17:03.537129|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2025-03-20 21:29:45.656800|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
