2025-03-19 23:50:01.530937|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2025-03-19 23:50:01.547266|INFO    |ServerLibPriv |   |SystemInformation: Linux 6.12.5-linuxkit #1 SMP PREEMPT_DYNAMIC Tue Jan 21 10:25:35 UTC 2025 x86_64 Binary: 64bit
2025-03-19 23:50:01.548693|INFO    |ServerLibPriv |   |Using hardware aes
2025-03-19 23:50:01.550992|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2025-03-19 23:50:01.552691|INFO    |DatabaseQuery |   |dbPlugin version: 2
2025-03-19 23:50:09.091089|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2025-03-19 23:50:09.098467|INFO    |Accounting    |   |Licensing Information
2025-03-19 23:50:09.099104|INFO    |Accounting    |   |licensed to       : Anonymous
2025-03-19 23:50:09.100103|INFO    |Accounting    |   |type              : No License
2025-03-19 23:50:09.101065|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2025-03-19 23:50:09.101951|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2025-03-19 23:50:09.102913|INFO    |Accounting    |   |max virtualservers: 1
2025-03-19 23:50:09.104139|INFO    |Accounting    |   |max slots         : 32
2025-03-19 23:50:09.811394|INFO    |              |   |Puzzle precompute time: 649
2025-03-19 23:50:09.817777|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2025-03-19 23:50:09.838259|INFO    |Query         |   |Using a query thread pool size of 2
2025-03-19 23:50:09.933729|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2025-03-19 23:50:09.939856|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2025-03-19 23:50:09.942083|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2025-03-19 23:52:16.374804|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
