2025-03-19 23:43:04.845194|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2025-03-19 23:43:04.859312|INFO    |ServerLibPriv |   |SystemInformation: Linux 6.12.5-linuxkit #1 SMP PREEMPT_DYNAMIC Tue Jan 21 10:25:35 UTC 2025 x86_64 Binary: 64bit
2025-03-19 23:43:04.860564|INFO    |ServerLibPriv |   |Using hardware aes
2025-03-19 23:43:04.862630|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2025-03-19 23:43:04.863944|INFO    |DatabaseQuery |   |dbPlugin version: 2
2025-03-19 23:43:04.917299|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2025-03-19 23:43:04.931148|INFO    |Accounting    |   |Licensing Information
2025-03-19 23:43:04.933204|INFO    |Accounting    |   |licensed to       : Anonymous
2025-03-19 23:43:04.935158|INFO    |Accounting    |   |type              : No License
2025-03-19 23:43:04.937089|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2025-03-19 23:43:04.938720|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2025-03-19 23:43:04.940262|INFO    |Accounting    |   |max virtualservers: 1
2025-03-19 23:43:04.941541|INFO    |Accounting    |   |max slots         : 32
2025-03-19 23:43:05.754185|INFO    |              |   |Puzzle precompute time: 783
2025-03-19 23:43:05.756213|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2025-03-19 23:43:05.779181|INFO    |Query         |   |Using a query thread pool size of 2
2025-03-19 23:43:05.816767|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2025-03-19 23:43:05.821111|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 0.0.0.0/32, ::1/128, 
2025-03-19 23:43:05.870069|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2025-03-19 23:44:33.167251|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
